,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
0,KR7098120009,A098120,(주)마이크로컨텍솔루션,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008/09/23,KOSDAQ,주권,벤처기업부,보통주,500,8312766
1,KR7131100000,A131100,(주)스카이이앤엠,스카이이앤엠,"SKY E&M Co., Ltd.",2011/06/14,KOSDAQ,주권,관리종목(소속부없음),보통주,100,53703566
2,KR7009520008,A009520,(주)포스코엠텍,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997/11/10,KOSDAQ,주권,우량기업부,보통주,500,41642703
3,KR7095570008,A095570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",2015/08/21,KOSPI,주권,,보통주,1000,46822295
4,KR7006840003,A006840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",1999/08/11,KOSPI,주권,,보통주,5000,13247561
5,KR7282330000,A282330,BGF리테일보통주,BGF리테일,BGF Retail,2017/12/08,KOSPI,주권,,보통주,1000,17283906
6,KR7027410000,A027410,BGF보통주,BGF,BGF,2014/05/19,KOSPI,주권,,보통주,1000,95716791
7,KR7138930003,A138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,2011/03/30,KOSPI,주권,,보통주,5000,325935246
8,KR7001461003,A001465,BYC1우선주,BYC우,BYC(1P),1989/09/05,KOSPI,주권,,구형우선주,5000,215385
9,KR7001460005,A001460,BYC보통주,BYC,BYC,1975/06/02,KOSPI,주권,,보통주,5000,624615
10,KR7001041003,A001045,CJ1우선주,CJ우,CJ(1P),1989/08/18,KOSPI,주권,,구형우선주,5000,2260223
11,KR700104K010,A00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),2019/08/09,KOSPI,주권,,신형우선주,5000,4226512
12,KR7001040005,A001040,CJ보통주,CJ,CJ Corp.,1973/06/29,KOSPI,주권,,보통주,5000,29176998
13,KR7011151008,A011155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990/01/13,KOSPI,주권,,구형우선주,500,200000
14,KR7011150000,A011150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,1988/11/26,KOSPI,주권,,보통주,500,35930773
15,KR7058820002,A058820,CMG제약,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001/08/31,KOSDAQ,주권,우량기업부,보통주,500,138892244
16,KR7000590000,A000590,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,1975/12/22,KOSPI,주권,,보통주,5000,1154482
17,KR7012030003,A012030,DB Inc.보통주,DB,DB Inc.,1993/01/06,KOSPI,주권,,보통주,500,201173933
18,KR7016610008,A016610,DB금융투자보통주,DB금융투자,"DB Financial Investment Co., LTD.",1988/06/27,KOSPI,주권,,보통주,5000,42446389
19,KR7005830005,A005830,DB손해보험보통주,DB손해보험,DB INSURANCE,1973/06/28,KOSPI,주권,,보통주,500,70800000
20,KR7000991000,A000995,DB하이텍1우선주,DB하이텍1우,"DB HiTek Co.,LTD(1P)",2007/05/21,KOSPI,주권,,구형우선주,5000,112316
21,KR7000990002,A000990,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",1975/12/12,KOSPI,주권,,보통주,5000,44398588
22,KR7139130009,A139130,DGB금융지주보통주,DGB금융지주,DGB Financial Group,2011/06/07,KOSPI,주권,,보통주,5000,169145833
23,KR7001530005,A001530,DI동일보통주,DI동일,DI DONGIL,1964/01/04,KOSPI,주권,,보통주,5000,2510655
24,KR7000211003,A000215,DL1우선주,DL우,DL(1P),1989/08/21,KOSPI,주권,,구형우선주,5000,1686115
25,KR7001880004,A001880,DL건설보통주,DL건설,DLConstruction,1977/12/22,KOSPI,주권,,보통주,5000,22053284
26,KR7000210005,A000210,DL보통주,DL,DL,1976/02/02,KOSPI,주권,,보통주,5000,20955884
27,KR737550K011,A37550K,DL이앤씨1우선주,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021/01/25,KOSPI,주권,,종류주권,5000,2113885
28,KR7375500006,A375500,DL이앤씨보통주,DL이앤씨,"DL E&C CO., LTD.",2021/01/25,KOSPI,주권,,보통주,5000,19358738
29,KR7155660004,A155660,DSR보통주,DSR,DSR CORP,2013/05/15,KOSPI,주권,,보통주,500,16000000
30,KR7069730000,A069730,DSR제강보통주,DSR제강,DSRWIRECORP,2003/01/28,KOSPI,주권,,보통주,500,14400000
31,KR7017940008,A017940,E1보통주,E1,E1Corporation,1997/08/27,KOSPI,주권,,보통주,5000,6860000
32,KR7365550003,A365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT,2020/12/23,KOSPI,부동산투자회사,,보통주,1000,143259000
33,KR7050120005,A050120,ES큐브,ES큐브,ES CUBE,2002/04/25,KOSDAQ,주권,중견기업부,보통주,5000,13564086
34,KR7383220001,A383220,F&F보통주,F&F,F&F,2021/05/21,KOSPI,주권,,보통주,500,7661415
35,KR7007700008,A007700,F&F홀딩스,F&F홀딩스,F&F Holdings,1984/10/04,KOSPI,주권,,보통주,500,39114367
36,KR7078931003,A078935,GS1우선주,GS우,GS Holdings(1P),2004/08/05,KOSPI,주권,,구형우선주,5000,1784826
37,KR7006360002,A006360,GS건설보통주,GS건설,GS Engineering & Construction Corp,1981/08/03,KOSPI,주권,,보통주,5000,85581490
38,KR7078930005,A078930,GS보통주,GS,GS Holdings,2004/08/05,KOSPI,주권,,보통주,5000,92915378
39,KR7012630000,A012630,HDC보통주,HDC,"HDC HOLDINGS CO.,Ltd",1996/10/16,KOSPI,주권,,보통주,5000,59741721
40,KR7294870001,A294870,HDC현대산업개발보통주,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY,2018/06/12,KOSPI,주권,,보통주,5000,65907330
41,KR7003560000,A003560,IHQ보통주,IHQ,IHQ,1973/12/18,KOSPI,주권,,보통주,500,146235748
42,KR7175330000,A175330,JB금융지주보통주,JB금융지주,"JB Financial Group Co., Ltd.",2013/07/18,KOSPI,주권,,보통주,5000,196982894
43,KR7234080000,A234080,JW생명과학보통주,JW생명과학,JW LIFESCIENCE,2016/10/27,KOSPI,주권,,보통주,2500,15834554
44,KR7001061001,A001065,JW중외제약1우선주,JW중외제약우,JWPHARMACEUTICAL(1P),1994/10/21,KOSPI,주권,,구형우선주,2500,177486
45,KR7001062009,A001067,JW중외제약2우선주(신형),JW중외제약2우B,JWPHARMACEUTICAL(2PB),1998/04/13,KOSPI,주권,,신형우선주,2500,93028
46,KR7001060003,A001060,JW중외제약보통주,JW중외제약,JWPHARMACEUTICAL,1976/06/14,KOSPI,주권,,보통주,2500,21539926
47,KR7096760004,A096760,JW홀딩스 보통주,JW홀딩스,JW HOLDINGS CORPORATION,2007/07/31,KOSPI,주권,,보통주,500,68441182
48,KR7105560007,A105560,KB금융지주 보통주,KB금융,KB Financial Group,2008/10/10,KOSPI,주권,,보통주,5000,415807920
49,KR7024120008,A024120,KB오토시스,KB오토시스,"KB Autosys Co.,Ltd",1994/12/07,KOSDAQ,주권,우량기업부,보통주,500,11500000
50,KR7009070004,A009070,KCTC 보통주,KCTC,KCTC,1978/09/29,KOSPI,주권,,보통주,500,30000000
51,KR7044180008,A044180,KD,KD,KD Corporation,2000/11/16,KOSDAQ,주권,중견기업부,보통주,500,21713845
52,KR7016381006,A016385,KG동부제철1우선주,KG동부제철우,KG DONGBUSTEEL(1P),1989/09/21,KOSPI,주권,,구형우선주,5000,53385
53,KR7016380008,A016380,KG동부제철보통주,KG동부제철,KG DONGBUSTEEL,1986/02/03,KOSPI,주권,,보통주,5000,100008897
54,KR7001390004,A001390,KG케미칼보통주,KG케미칼,KG Chemical,1989/08/25,KOSPI,주권,,보통주,5000,13866096
55,KR7033180001,A033180,KH 필룩스보통주,KH 필룩스,"KH FEELUX Co.,Ltd.",2001/12/26,KOSPI,주권,,보통주,500,136730264
56,KR7001940006,A001940,KISCO홀딩스보통주,KISCO홀딩스,KISCO Holdings,1989/11/13,KOSPI,주권,,보통주,1000,18476380
57,KR7025000001,A025000,KPX케미칼보통주,KPX케미칼,KPXCHEMICAL,1994/12/27,KOSPI,주권,,보통주,5000,4840000
58,KR7092230002,A092230,KPX홀딩스보통주,KPX홀딩스,KPXHOLDINGS,2006/10/12,KOSPI,주권,,보통주,5000,4224646
59,KR7000040006,A000040,KR모터스보통주,KR모터스,KR MOTORS,1976/05/25,KOSPI,주권,,보통주,500,96137368
60,KR7093050003,A093050,LF보통주,LF,LF,2006/12/01,KOSPI,주권,,보통주,5000,29240000
61,KR7003551009,A003555,LG1우선주,LG우,LG Corp.(1P),1988/11/18,KOSPI,주권,,구형우선주,5000,3021620
62,KR7034220004,A034220,LG디스플레이보통주,LG디스플레이,LG Display,2004/07/23,KOSPI,주권,,보통주,5000,357815700
63,KR7003550001,A003550,LG보통주,LG,LG Corp.,1970/02/13,KOSPI,주권,,보통주,5000,157300993
64,KR7051901007,A051905,LG생활건강1우선주,LG생활건강우,"LGHOUSEHOLD&HEALTHCARE,LTD(1P)",2001/04/25,KOSPI,주권,,구형우선주,5000,2099697
65,KR7051900009,A051900,LG생활건강보통주,LG생활건강,"LGHOUSEHOLD&HEALTHCARE,LTD",2001/04/25,KOSPI,주권,,보통주,5000,15618197
66,KR7032640005,A032640,LG유플러스보통주,LG유플러스,LG Uplus,2008/04/21,KOSPI,주권,,보통주,5000,436611361
67,KR7011070000,A011070,LG이노텍보통주,LG이노텍,LG Innotek,2008/07/24,KOSPI,주권,,보통주,5000,23667107
68,KR7066571001,A066575,LG전자1우선주,LG전자우,LGELECTRONICS(1P),2002/04/22,KOSPI,주권,,구형우선주,5000,17185992
69,KR7066570003,A066570,LG전자보통주,LG전자,LGELECTRONICS,2002/04/22,KOSPI,주권,,보통주,5000,163647814
70,KR7051911006,A051915,LG화학1우선주,LG화학우,"LGCHEM,LTD(1P)",2001/04/25,KOSPI,주권,,구형우선주,5000,7688800
71,KR7051910008,A051910,LG화학보통주,LG화학,"LGCHEM,LTD",2001/04/25,KOSPI,주권,,보통주,5000,70592343
72,KR7079550000,A079550,LIG넥스원보통주,LIG넥스원,"LIG Nex1 Co., Ltd.",2015/10/02,KOSPI,주권,,보통주,5000,22000000
73,KR7010120004,A010120,LS ELECTRIC보통주,LS ELECTRIC,LS ELECTRIC,1994/07/11,KOSPI,주권,,보통주,5000,30000000
74,KR7000680009,A000680,LS네트웍스보통주,LS네트웍스,LSNetworks,1973/11/15,KOSPI,주권,,보통주,5000,78803016
75,KR7006260004,A006260,LS보통주,LS,LS,1977/06/30,KOSPI,주권,,보통주,5000,32200000
76,KR7001120005,A001120,LX인터내셔널보통주,LX인터내셔널,LX INTERNATIONAL CORP.,1976/01/30,KOSPI,주권,,보통주,5000,38760000
77,KR7023150006,A023150,MH에탄올보통주,MH에탄올,MHETHANOL,1996/12/24,KOSPI,주권,,보통주,500,7378526
78,KR7035420009,A035420,NAVER보통주,NAVER,NAVER,2008/11/28,KOSPI,주권,,보통주,100,164263395
79,KR7181710005,A181710,NHN보통주,NHN,NHN,2013/08/29,KOSPI,주권,,보통주,500,19565025
80,KR7338100001,A338100,NH프라임리츠보통주,NH프라임리츠,NH Prime REIT,2019/12/05,KOSPI,부동산투자회사,,보통주,500,18660000
81,KR7034310003,A034310,NICE보통주,NICE,NICEHoldings,2004/02/04,KOSPI,주권,,보통주,500,37882300
82,KR7008260002,A008260,NI스틸보통주,NI스틸,NI STEEL,1975/06/28,KOSPI,주권,,보통주,500,28600117
83,KR7004251005,A004255,NPC1우선주,NPC우,NPC(1P),1990/01/15,KOSPI,주권,,구형우선주,500,5280000
84,KR7004250007,A004250,NPC보통주,NPC,NPC,1969/09/08,KOSPI,주권,,보통주,500,36720000
85,KR7010060002,A010060,OCI보통주,OCI,OCI,1985/07/09,KOSPI,주권,,보통주,5000,23849371
86,KR7010951002,A010955,S-Oil1우선주,S-Oil우,S-Oil(1P),1992/05/28,KOSPI,주권,,구형우선주,2500,4021927
87,KR7010950004,A010950,S-Oil보통주,S-Oil,S-OilCorporation,1987/05/27,KOSPI,주권,,보통주,2500,112582792
88,KR8392070007,A950110,SBI핀테크솔루션즈,SBI핀테크솔루션즈,"SBI FinTech Solutions Co., Ltd.",2012/12/17,KOSDAQ,주식예탁증권,외국기업(소속부없음),보통주,무액면,24048040
89,KR7101060002,A101060,SBS미디어홀딩스보통주,SBS미디어홀딩스,SBS Media Holdings,2008/03/24,KOSPI,주권,,보통주,500,139896190
90,KR7005090006,A005090,SGC에너지보통주,SGC에너지,SGC Energy,1993/01/06,KOSPI,주권,,보통주,5000,14677004
91,KR7001380005,A001380,SG글로벌보통주,SG글로벌,SG GLOBAL,1976/06/29,KOSPI,주권,,보통주,500,44964143
92,KR7001770007,A001770,SHD보통주,SHD,SHIN HWA DYNAMICS,1988/11/23,KOSPI,주권,,보통주,5000,1214878
93,KR7002360006,A002360,SH에너지화학보통주,SH에너지화학,SH ENERGY & CHEMICAL,1985/12/23,KOSPI,주권,,보통주,500,111133730
94,KR7009160003,A009160,SIMPAC보통주,SIMPAC,SIMPACInc,1989/07/29,KOSPI,주권,,보통주,500,65429516
95,KR7123700007,A123700,SJM보통주,SJM,"SJM CO.,LTD",2010/05/31,KOSPI,주권,,보통주,500,15604898
96,KR7025530007,A025530,SJM홀딩스보통주,SJM홀딩스,SJM HOLDINGS,1997/02/12,KOSPI,주권,,보통주,500,14934008
97,KR703473K016,A03473K,SK1우선주,SK우,SK(1P),2015/08/17,KOSPI,주권,,종류주권,200,566135
98,KR7011790003,A011790,SKC보통주,SKC,SKC,1997/07/18,KOSPI,주권,,보통주,5000,37868298
99,KR7018670000,A018670,SK가스보통주,SK가스,SKGas,1997/08/27,KOSPI,주권,,보통주,5000,9230244
100,KR7001741008,A001745,SK네트웍스1우선주,SK네트웍스우,"SKNetworksCo.,Ltd(1P)",1989/12/21,KOSPI,주권,,구형우선주,2500,113648
101,KR7001740000,A001740,SK네트웍스보통주,SK네트웍스,"SKNetworksCo.,Ltd",1977/06/30,KOSPI,주권,,보통주,2500,248187647
102,KR7210980009,A210980,SK디앤디보통주,SK디앤디,"SK D&D Co., Ltd",2015/06/23,KOSPI,주권,,보통주,1000,22190164
103,KR7395400005,A395400,SK리츠보통주,SK리츠,SK REIT,2021/09/14,KOSPI,부동산투자회사,,보통주,500,155020532
104,KR7034730002,A034730,SK보통주,SK,SK,2009/11/11,KOSPI,주권,,보통주,200,70360297
105,KR7361610009,A361610,SK아이이테크놀로지보통주,SK아이이테크놀로지,SK ie technology,2021/05/11,KOSPI,주권,,보통주,1000,71297592
106,KR7096771001,A096775,SK이노베이션 1우선주,SK이노베이션우,SK Innovation(1P),2007/07/25,KOSPI,주권,,구형우선주,5000,1248426
107,KR7096770003,A096770,SK이노베이션 보통주,SK이노베이션,SK Innovation,2007/07/25,KOSPI,주권,,보통주,5000,92465564
108,KR7001511005,A001515,SK증권1우선주,SK증권우,SKSecurities(1P),1989/08/29,KOSPI,주권,,구형우선주,500,3912514
109,KR7001510007,A001510,SK증권보통주,SK증권,SKSecurities,1986/09/20,KOSPI,주권,,보통주,500,472590171
110,KR728513K010,A28513K,SK케미칼1우선주,SK케미칼우,SKCHEMICALS(1P),2018/01/05,KOSPI,주권,,종류주권,5000,1458670
111,KR7285130001,A285130,SK케미칼보통주,SK케미칼,SKCHEMICALS,2018/01/05,KOSPI,주권,,보통주,5000,11751396
112,KR7017670001,A017670,SK텔레콤보통주,SK텔레콤,SKTelecom,1989/11/07,KOSPI,주권,,보통주,500,72060143
113,KR7064960008,A064960,SNT모티브보통주,SNT모티브,SNT MOTIV,2002/03/11,KOSPI,주권,,보통주,5000,14623136
114,KR7100840008,A100840,SNT에너지보통주,SNT에너지,"SNTEnergy Co.,Ltd.",2008/02/22,KOSPI,주권,,보통주,500,7506711
115,KR7003570009,A003570,SNT중공업보통주,SNT중공업,SNT DYNAMICS,1976/07/08,KOSPI,주권,,보통주,2500,33252697
116,KR7036530004,A036530,SNT홀딩스보통주,SNT홀딩스,SNT Holdings,2002/10/22,KOSPI,주권,,보통주,500,16303886
117,KR7005610001,A005610,SPC삼립보통주,SPC삼립,SPC SAMLIP,1975/05/02,KOSPI,주권,,보통주,5000,8629009
118,KR7011810009,A011810,STX보통주,STX,STX,1990/09/12,KOSPI,주권,,보통주,2500,28621454
119,KR7077970002,A077970,STX엔진보통주,STX엔진,"STXEngineCo.,Ltd",2004/05/10,KOSPI,주권,,보통주,2500,23008904
120,KR7071970008,A071970,STX중공업보통주,STX중공업,STX Heavy Industries,2009/05/15,KOSPI,주권,,보통주,2500,28365976
121,KR7084870005,A084870,TBH글로벌보통주,TBH글로벌,TBH GLOBAL,2005/12/19,KOSPI,주권,,보통주,500,20856819
122,KR7002710002,A002710,TCC스틸보통주,TCC스틸,TCC STEEL,1984/12/21,KOSPI,주권,,보통주,1000,23500000
123,KR7024070005,A024070,WISCOM보통주,WISCOM,WISCOM,1996/11/22,KOSPI,주권,,보통주,500,15326438
124,KR7079940003,A079940,가비아,가비아,"GABIA, Inc.",2005/10/19,KOSDAQ,주권,우량기업부,보통주,500,13535684
125,KR7078890001,A078890,가온미디어,가온미디어,"KAON Media Co., Ltd.",2005/07/12,KOSDAQ,주권,우량기업부,보통주,500,15851946
126,KR7000500009,A000500,가온전선보통주,가온전선,GAONCABLE,1987/06/08,KOSPI,주권,,보통주,5000,4160347
127,KR7036620003,A036620,감성코퍼레이션,감성코퍼레이션,GAMSUNG Corporation,2000/01/11,KOSDAQ,주권,중견기업부,보통주,500,77283680
128,KR7000860007,A000860,강남제비스코보통주,강남제비스코,KANGNAM JEVISCO,1975/11/12,KOSPI,주권,,보통주,1000,6500000
129,KR7217730001,A217730,강스템바이오텍,강스템바이오텍,"KANGSTEM BIOTECH CO., LTD.",2015/12/21,KOSDAQ,주권,기술성장기업부,보통주,500,25561688
130,KR7114190002,A114190,강원,강원,"KANGWON Co., Ltd.",2009/11/20,KOSDAQ,주권,관리종목(소속부없음),보통주,500,26123038
131,KR7035250000,A035250,강원랜드보통주,강원랜드,"Kangwon Land, Inc.",2003/09/04,KOSPI,주권,,보통주,500,213940500
132,KR7094480001,A094480,갤럭시아머니트리,갤럭시아머니트리,"GalaxiaMoneytree Co.,Ltd.",2007/07/20,KOSDAQ,주권,우량기업부,보통주,500,39229838
133,KR7011420007,A011420,갤럭시아에스엠보통주,갤럭시아에스엠,GALAXIA SM,1989/11/14,KOSPI,주권,,보통주,500,27549644
134,KR7063080006,A063080,게임빌,게임빌,GAMEVIL. INC,2009/07/30,KOSDAQ,주권,우량기업부,보통주,500,6595192
135,KR7039240007,A039240,경남스틸,경남스틸,"Kyeong Nam Steel Co., LTD",2000/03/07,KOSDAQ,주권,우량기업부,보통주,100,25000000
136,KR7053950002,A053950,경남제약,경남제약,"KYUNG NAM PHARM.CO.,LTD.",2001/11/06,KOSDAQ,주권,중견기업부,보통주,500,20049565
137,KR7223310004,A223310,경남제약헬스케어,경남제약헬스케어,"KYUNG NAM PHARM HEALTH CARE CO., LTD.",2015/12/24,KOSDAQ,주권,관리종목(소속부없음),보통주,100,13333506
138,KR7002100006,A002100,경농보통주,경농,Kyungnong,1977/06/30,KOSPI,주권,,보통주,500,19522575
139,KR7009450008,A009450,경동나비엔보통주,경동나비엔,KYUNGDONGNAVIEN,1993/08/31,KOSPI,주권,,보통주,1000,14568592
140,KR7267290005,A267290,경동도시가스보통주,경동도시가스,KYUNGDONG CITY GAS,2017/05/12,KOSPI,주권,,보통주,2500,5895406
141,KR7012320008,A012320,경동인베스트보통주,경동인베스트,KYUNGDONG INVEST,1997/03/07,KOSPI,주권,,보통주,5000,2365023
142,KR7011040003,A011040,경동제약,경동제약,KyungdongPharm,1992/12/18,KOSDAQ,주권,우량기업부,보통주,500,30768766
143,KR7000050005,A000050,경방보통주,경방,Kyungbang,1956/03/03,KOSPI,주권,,보통주,500,27415270
144,KR7214390007,A214390,경보제약보통주,경보제약,"KYONGBO PHARMACEUTICAL CO., LTD.",2015/06/29,KOSPI,주권,,보통주,500,23906860
145,KR7012610002,A012610,경인양행보통주,경인양행,KyunginSynthetic,1995/10/05,KOSPI,주권,,보통주,500,41546365
146,KR7009140005,A009140,경인전자보통주,경인전자,KyunginElectronics,1989/06/20,KOSPI,주권,,보통주,5000,1570797
147,KR7024910002,A024910,경창산업,경창산업,KyungchangIndustrial,1994/12/29,KOSDAQ,주권,중견기업부,보통주,500,35819005
148,KR7013580006,A013580,계룡건설산업보통주,계룡건설,KyeryongConstructionIndustrial,1996/01/30,KOSPI,주권,,보통주,5000,8930907
149,KR7012201000,A012205,계양전기1우선주,계양전기우,KeyangElectricMachinery(1P),1989/08/02,KOSPI,주권,,구형우선주,500,1400000
150,KR7012200002,A012200,계양전기보통주,계양전기,KeyangElectricMachinery,1988/07/06,KOSPI,주권,,보통주,500,32600000
151,KR7002140002,A002140,고려산업보통주,고려산업,KoreaIndustrial,1991/01/14,KOSPI,주권,,보통주,1000,24939425
152,KR7198440000,A198440,고려시멘트,고려시멘트,"KOREA CEMENT co., Ltd.",2014/08/13,KOSDAQ,주권,우량기업부,보통주,100,31979960
153,KR7049720006,A049720,고려신용정보,고려신용정보,"KORYO CREDIT INFORMATION CO., LTD.",2002/01/31,KOSDAQ,주권,중견기업부,보통주,500,14300000
154,KR7010130003,A010130,고려아연보통주,고려아연,KoreaZinc,1990/07/28,KOSPI,주권,,보통주,5000,18870000
155,KR7002240000,A002240,고려제강보통주,고려제강,KISWire,1976/05/25,KOSPI,주권,,보통주,1000,23000000
156,KR7014570006,A014570,고려제약,고려제약,"KOREAN DRUG CO., LTD.",2000/12/07,KOSDAQ,주권,우량기업부,보통주,500,11000000
157,KR7348150004,A348150,고바이오랩,고바이오랩,"KoBioLabs, Inc",2020/11/18,KOSDAQ,주권,기술성장기업부,보통주,500,16270559
158,KR7098460009,A098460,고영테크놀러지,고영,Koh Young Technology Inc.,2008/06/03,KOSDAQ,주권,우량기업부,보통주,100,68654755
159,KR7035290006,A035290,골드앤에스,골드앤에스,Gold&S,1999/12/07,KOSDAQ,주권,관리종목(소속부없음),보통주,500,36223910
160,KR7038530002,A038530,골드퍼시픽,골드퍼시픽,"Gold Pacific Co.,Ltd",2000/06/09,KOSDAQ,주권,중견기업부,보통주,500,83267529
161,KR7215000001,A215000,골프존,골프존,"GOLFZON Co., Ltd.",2015/04/03,KOSDAQ,주권,우량기업부,보통주,500,6275415
162,KR7121440002,A121440,골프존뉴딘홀딩스,골프존뉴딘홀딩스,"GOLFZON NEWDIN HOLDINGS Co., Ltd.",2011/05/20,KOSDAQ,주권,중견기업부,보통주,500,42836818
163,KR7183410000,A183410,골프존데카,골프존데카,GolfzonDeca,2013/11/12,KONEX,주권,일반기업부,보통주,500,4111161
164,KR7076340009,A076340,관악산업,관악산업,GWANAK CONSTRUCTION AND EQUIPMENT SERVICE,2015/05/18,KONEX,주권,일반기업부,보통주,500,4871460
165,KR7009290008,A009290,광동제약보통주,광동제약,KwangdongPharmaceutical,1989/11/17,KOSPI,주권,,보통주,1000,52420851
166,KR7014200000,A014200,광림,광림,"KANGLIM Co., LTD.",1993/07/07,KOSDAQ,주권,중견기업부,보통주,500,74564624
167,KR7017040007,A017040,광명전기보통주,광명전기,KWANG MYUNG ELECTRIC,1990/09/14,KOSPI,주권,,보통주,500,43337615
168,KR7017900002,A017900,광전자보통주,광전자,AUK,1996/10/16,KOSPI,주권,,보통주,500,57943763
169,KR7037710001,A037710,광주신세계보통주,광주신세계,GwangjuShinsegae,2002/02/07,KOSPI,주권,,보통주,5000,1600000
170,KR7026910000,A026910,광진실업,광진실업,KwangjinInd,1996/01/03,KOSDAQ,주권,중견기업부,보통주,500,6405405
171,KR7090150004,A090150,광진윈텍,광진윈텍,"KWANGJIN WINTEC CO., LTD",2006/10/20,KOSDAQ,주권,중견기업부,보통주,500,17358393
172,KR7355150004,A355150,교보10호기업인수목적,교보10호스팩,Kyobo 10 Special Purpose Acquisition Company,2020/09/18,KOSDAQ,주권,SPAC(소속부없음),보통주,100,5320000
173,KR7331520007,A331520,교보9호기업인수목적,교보9호스팩,Kyobo 9 Special Purpose Acquisition Company,2019/10/29,KOSDAQ,주권,SPAC(소속부없음),보통주,100,3880000
174,KR7030610000,A030610,교보증권보통주,교보증권,"KYOBOSECURITIESCO.,LTD.",2002/07/18,KOSPI,주권,,보통주,5000,64653296
175,KR7339770000,A339770,교촌에프앤비보통주,교촌에프앤비,KYOCHON FOOD&BEVERAGE,2020/11/12,KOSPI,주권,,보통주,500,24982540
176,KR7053270005,A053270,구영테크,구영테크,GUYOUNGTECHNOLOGY COMPANY LIMITED,2002/02/07,KOSDAQ,주권,중견기업부,보통주,500,26394174
177,KR7007690001,A007690,국도화학보통주,국도화학,KukdoChemical,1989/08/05,KOSPI,주권,,보통주,5000,9010616
178,KR7005320007,A005320,국동보통주,국동,Kukdong,1996/12/24,KOSPI,주권,,보통주,500,54151537
179,KR7066620006,A066620,국보디자인,국보디자인,KUKBO DESIGN,2002/09/05,KOSDAQ,주권,우량기업부,보통주,500,7500000
180,KR7001140003,A001140,국보보통주,국보,KUKBO,1989/12/02,KOSPI,주권,,보통주,500,61065541
181,KR7043650001,A043650,국순당,국순당,"KOOK SOON DANG CO., LTD.",2000/08/24,KOSDAQ,주권,우량기업부,보통주,500,17858304
182,KR7006050009,A006050,국영지앤엠,국영지앤엠,KUK YOUNG G&M,1994/10/07,KOSDAQ,주권,중견기업부,보통주,500,34895243
183,KR7060480001,A060480,국일신동,국일신동,"KUKIL METAL CO., LTD",2014/12/29,KOSDAQ,주권,중견기업부,보통주,500,11090000
184,KR7078130002,A078130,국일제지,국일제지,"KUK-IL PAPER MFG CO.,LTD",2004/10/22,KOSDAQ,주권,중견기업부,보통주,100,127617473
185,KR7307750000,A307750,국전약품,국전약품,"KUKJEON PHARMACEUTICAL Co.,Ltd",2018/12/19,KOSDAQ,주권,우량기업부,보통주,100,49069269
186,KR7002720001,A002720,국제약품보통주,국제약품,Kukje Pharma,1975/12/27,KOSPI,주권,,보통주,1000,19276090
187,KR7243870003,A243870,굿센,굿센,Goodcen,2016/10/31,KONEX,주권,일반기업부,보통주,500,2583805
188,KR7114090004,A114090,그랜드코리아레저보통주,GKL,Grand Korea Leisure,2009/11/19,KOSPI,주권,,보통주,500,61855670
189,HK0000307485,A900290,그레이트리치과기유한공사,GRT,Great Rich Technologies Limited,2016/10/25,KOSDAQ,외국주권,관리종목(소속부없음),보통주,무액면,67375000
190,KR7204020002,A204020,그리티,그리티,"GRITEE, Inc.",2018/07/23,KOSDAQ,주권,중견기업부,보통주,500,20147430
191,KR7083420000,A083420,그린케미칼보통주,그린케미칼,GREEN CHEMICAL,2005/10/20,KOSPI,주권,,보통주,500,24000000
192,KR7186230009,A186230,그린플러스,그린플러스,"GREEN PLUS Co., Ltd",2019/08/07,KOSDAQ,주권,벤처기업부,보통주,500,10820188
193,KR7014530000,A014530,극동유화보통주,극동유화,KukdongOil&Chem.,1991/01/31,KOSPI,주권,,보통주,500,34869420
194,KR7083450007,A083450,글로벌스탠다드테크놀로지,GST,"Global Standard Technology Co., Ltd.",2006/02/01,KOSDAQ,주권,우량기업부,보통주,500,9317745
195,KYG3931T1076,A900070,글로벌에스엠테크리미티드,글로벌에스엠,Global SM Tech Limited,2009/12/23,KOSDAQ,외국주권,외국기업(소속부없음),보통주,0.5,53743968
196,KR7204620009,A204620,글로벌텍스프리,글로벌텍스프리,"Global Tax Free Co., Ltd.",2014/11/19,KOSDAQ,주권,중견기업부,보통주,500,48736691
